ObjectID,Accession Number,Object Number,Sort Number,Department,Classification,Acquisition Method,Object Status,Artist/Maker,Title,Object Name (Ctrl + Insert),Dated,Materials / Techniques,Dimensions,Description,Credit Line (Ctrl + Insert),Culture (Ctrl + Insert),Period/Dynasty (Ctrl + Insert),eMuseum Label Text
13346,1904.453,,1904   453,European Art,Ceramics,Gift,Permanent Collection,Italian,Capo di Monte Snuffbox with Design of a Gentleman,snuffbox,18th century,Painted and gilded porcelain,Overall: 1 1/2 × 2 × 2 3/8 in. (3.8 × 5.1 × 6 cm),,Bequest of Charles F. and Abigail L. Olney,Italian,,"Economic growth in early modern Europe, stemming in part from colonization, enabled a new social mobility that blurred class lines. Colonial imports such as snuff (a mixture of oils and tobacco) and other luxury products served as status signals, especially for those aspiring to a higher position. These goods were also closely tied to evolving ideas of civility–the behavior, clothes, and habits that distinguished gentlemen (like the one depicted on this snuff box) from the lower orders."
1259,1904.468,,1904   468,Asian Art,Metalwork,Gift,Permanent Collection,Chinese,Sunspot Vase,vase,17th–18th century,Bronze and gold,Overall: 11 × 10 in. (27.9 × 25.4 cm),,Bequest of Charles F. and Abigail L. Olney,Chinese,Qing dynasty (1644–1911),"Vases of this sunspot type were bronze vessels into which irregular indentations were cast or cut. Afterward, gold was worked into these spaces and then the whole surface was polished. Although the vase bears a mark on the bottom stating that it was made during the Xuande period (1425–1435) of the Ming dynasty, this was a popular practice during the Qing dynasty (1644–1911). The honorific Xuande mark was not so much an attempt to deceive, but rather a mark of respect to an earlier period renowned for artistic achievement."
15136,1904.490,,1904   490,Asian Art,Ceramics,Gift,Permanent Collection,Chinese,Pyriform Vase,vase,second half 17th–early 18th century,"Porcelain with ""sprinkled blue"" (salan) glaze",Overall: 16 5/8 × 8 7/16 in. (42.2 × 21.4 cm),Porcelain with a powder blue glaze.,Bequest of Charles F. and Abigail L. Olney,Chinese,"Qing dynasty, Kangxi period (1662–1722)","The elegant shape and rich color of this pyriform (pear-shaped) vase with a “sprinkled blue” or “powder blue” (<I>sǎlán</I> 洒蓝, 灑藍) glaze exemplify the high levels of ceramic craftsmanship in the early Qing dynasty. The glaze is a single color, but the blue has a multilayered, speckled quality. In the sprinkled blue, the finely mottled appearance comes from the simple method of spraying cobalt oxide (CoO) powder of varying granularity on the vessel body through a bamboo tube capped with a gauze filter. Firing it at a high temperature changes the grey-black powder into the familiar cobalt blue."
5428,1904.491,,1904   491,Asian Art,Ceramics,Gift,Permanent Collection,Chinese,Double Gourd-Shape Vase with Auspicious Motifs,vase,early 19th century,Glazed porcelain with overglaze polychrome enamels,Overall: 18 × 9 in. (45.7 × 22.9 cm),,Bequest of Charles F. and Abigail L. Olney,Chinese,Qing dynasty (1644–1911),"This vase is a veritable encyclopedia of auspicious symbols, covered with wishes for happiness, longevity, and good fortune, often in the form of visual puns.
<BR><BR>
The many red bats that cover the vessel, as if flying in a cloudy sky, symbolize the phrase “blessings as vast as the sky” (<I>hóngfú qítiān</I> 洪福齐天, 洪福齊天), because the words for red and bat are homonyms with the words for vast and blessings. Each bat also carries a lucky object: at the top symbols of the legendary Daoist Eight Immortals and lucky flowers, at the bottom the Eight Buddhist Symbols of Good Fortune, and around the waist bats carry swastikas, ancient Buddhist symbols that in China were homonyms with the word for “myriad” or “ten thousand,” so paired with the bat mean “ten thousand blessings”. 

The other prominent symbol is the repeated roundel with flying male and female phoenixes symbolizing both a happy marriage (<I>fènghuáng yúfēi</I>  凤凰于飞, 鳳凰于飛) and a wish for great blessings and great prosperity, since they are facing a peony (<I>fèngxì mǔdān</I> 凤戏牡丹, 鳳戱牡丹) and therefore connect the king of birds with the king of flowers. 
"
1124,1904.495,,1904   495,Asian Art,Ceramics,Gift,Permanent Collection,Chinese,Vase,vase,19th century,"Porcelain with ""teadust"" (chayemo) glaze",Overall: 11 × 8 in. (27.9 × 20.3 cm),,Bequest of Charles F. and Abigail L. Olney,Chinese,Qing dynasty (1644–1911),"An ancient style of glaze that had a resurgence in the 18th century imperial kilns, “teadust” glazes (<I>cháyèmò</I> 茶叶末, 茶葉末) are named for their mottled, opaque color, like a powdery mist of green, yellow, and brown flakes. Although the material and firing techniques are similar to celadon, some tiny variations create very different effects. First, magnesia (MgO) is added to the high iron glaze, which in the right conditions leads to the formation of pyroxene crystals, giving the glaze its characteristic flaky appearance. The crystals are created by a slight underfiring (i.e. slightly lower temperature) compared to celadon; furthermore, the kiln has a lighter reduction (low oxygen) atmosphere. As so often happens, what may have begun as a firing mistake evolved into a widely admired glaze style."
5972,1904.496,,1904   496,Asian Art,Ceramics,Gift,Permanent Collection,Chinese,Moonflask or Pilgrim's Flask (Bianhu),moonflask,1723-35,Porcelain with celadon glaze,Overall: 11 5/8 × 9 5/8 × 5 1/2 in. (29.5 × 24.4 × 14 cm),The paste underneath the glaze shows arabesque scrolls with lotus blossoms and foliage in slight relief. Six character mark under the glaze on base.,Bequest of Charles F. and Abigail L. Olney,Chinese,Qing dynasty (1644–1911),"A mark on the bottom of this vessel reveals that it was made during the reign of the Yongzheng emperor (r. 1723-1735) of the Qing dynasty. The Qing dynasty (1644- 1911) was founded by Manchus, a non-Chinese ethnic group from northeastern Asia. The Manchu Qing rulers were uneasy about their status in China and waged a vigorous campaign to promote themselves as protectors and patrons of traditional Chinese culture. As part of this campaign, the Qing court supported many areas of artistic production, including ceramics, which reached unparalleled heights of creative and technical excellence, particularly between the late seventeenth and early nineteenth centuries. 
<br><br>
The form of this vessel is often referred to as a moonflask or a pilgrim flask. It derives from earlier metal and leather canteens that were used by the peoples of Central Asia and the Northern Steppes. This flask form first appeared in Chinese pottery during the Tang dynasty (618-907) and became firmly established as a standard ceramic shape during the Song dynasty (960-1279). The luminous green glaze on the flask belongs to the celadon family of glazes, which were first produced in southern China sometime around the ninth or tenth century. They were created by adding iron oxide to a standard glaze and firing it in a reduced-oxygen kiln. Depending on the relative amounts of iron oxide and oxygen present, the celadon glaze could produce a wide range of colors on the green-blue spectrum. By thus referring to both a traditional form and a traditional glaze, this flask supported the Qing government's efforts to identify itself with previous Chinese dynasties. The subtle decoration on the flask's surface further advanced the image of the Qing court as a place of great sensitivity and aesthetic refinement. 
<br><br>
This flask was part of the bequest that came to Oberlin College in 1904 from Cleveland resident Charles F. Olney. An educator originally from upstate New York, Olney married well and formed an extensive art collection during the last quarter of the nineteenth century. In 1893, he opened the first public art museum in the city of Cleveland. But when the city declined to accept his collection as the basis for a civic museum, Olney bequeathed it to Oberlin College, where it inspired the founding of the AMAM. Most of the Asian artworks collected by Olney were mere curiosities; this flask, however, is an exception and ranks as one of the most important objects in the entire Olney bequest. 
"
13661,1904.585,,1904   585,American Art,Paintings,Gift,Permanent Collection,John Semon,The Wheatfields,painting,1895,Oil on canvas,"Overall: 15 1/2 × 24 9/16 in. (39.4 × 62.3 cm)
Frame: 26 3/4 × 35 5/8 × 3 in. (67.9 × 90.5 × 7.6 cm)",,Bequest of Charles F. and Abigail L. Olney,American,,"Active primarily in the Cleveland area, Semon was noted for his lyrical, idealized autumn scenes.  Rolling fields of ripened grain symbolize the infinity and abundance of the Midwestern prairies."
7179,1904.593,,1904   593,American Art,Paintings,Gift,Permanent Collection,Nicholas Alden Brooks,Handbill of the Play at the Night of Lincoln's Assassination,painting,1893,Oil on oak panel,"Overall: 20 5/8 × 14 in. (52.4 × 35.6 cm)
Frame: 32 3/8 × 25 3/4 × 3 in. (82.2 × 65.4 × 7.6 cm)","Handbill of the play at Ford's Theatre on the night of President Lincoln's assassination, a ten-dollar bill, a coupon for a seat at the opera house, a two-cent postage stamp and a clipping from a newspaper all painted in oil.",Bequest of Charles F. and Abigail L. Olney,American,,"This still life is executed in the trompe l’oeil painting style popular at the end the 19th century, whose intent was to “trick the eye” through detailed realism. The arrangement depicts the handbill of the play presented at Ford’s Theatre on the night of President Lincoln’s assassination, a ten-dollar bill, a newspaper clipping, and a check for seven-hundred dollars."
3197,1904.632,,1904   632,Asian Art,Ceramics,Gift,Permanent Collection,Japanese,Ornamental Screen with Images of Kanzan and Jittoku,ornamental screen,19th century,"Glazed and unglazed pottery, with overglaze enamel colors and gold",Overall: 9 × 8 × 4 3/8 in. (22.9 × 20.3 × 11.1 cm),Two figurines in the round are placed in a hollow opening in the center.,Bequest of Charles F. and Abigail L. Olney,Japanese,Edo-Meiji periods (1615–1912),"This complex, sculptural ceramic is an example of Satsuma ware. It is a remarkable combination of colorful overglaze enamel patterns, gilding, and sculpture. The two figures in the center provide an interesting visual contrast to the colorful frame around them. Their faces are unglazed, revealing the reddish earthenware of the clay body, and their robes are covered with a transparent glaze. Although in the form of a decorative table screen, it is actually a vase and may have been used to display a branch of cherry blossoms—note the gilded cherry blossom design in the blue border.<br>
<br>
The central figures are a pair of famous Zen Buddhist hermits, semi-legendary figures from 8th to 9th century China. Standing and holding a scroll is Kanzan 寒山 (Hánshān in Chinese), or “Cold Mountain.” Hundreds of evocative and mystical poems are attributed to him. He lived at the Guóqīng Monastery 国清寺 on Mt. Tiāntāi in southern China. Seated and holding a broom is Jittoku 拾得 (Shídé), or “The Foundling,” also a poet, he worked in the kitchen at the monastery. Both wandered in the mountain forests, writing poems on rocks and trees."
3940,1904.718,,1904   718,Asian Art,Metalwork,Gift,Permanent Collection,Nakao Sotei,Hexagonal Vase,vase,late 19th–early 20th century,Bronze,Overall: 5 3/8 × 4 1/2 × 4 in. (13.7 × 11.4 × 10.2 cm),,Bequest of Charles F. and Abigail L. Olney,Japanese,Meiji Period (1868 - 1912),"The vase has a mark on the bottom stating that it was made by Nakao Munesada, also pronounced Nakao Sōtei. He was a prolific artist in metal casting during the late Edo period (1603–1868), probably in Osaka. His sons continued his tradition into the Meiji period (1868–1912), respectfully marking their work with his name, a tradition that can make specific identification of the maker difficult. On stylistic grounds, this vase can be dated to the mid to late Edo period, suggesting that it may have been made by Nakao Munesada himself. Metalwork signed Nakao Munesada was among the earliest exported to the West in the late 19th century.
"
10412,1904.1180.3,,1904  1180    3,Pre-Columbian and American Indian,Drawings / Watercolors,Gift,Permanent Collection,Howling Wolf,18. Sitting Bull Shooting Another Warrior; 17. [blank page]; 7. [blank page]; 8. A Warrior Fighting Two Snake Indians.,drawing,1874–75,"Pen, ink, and watercolor on ledger paper",Overall: 7 7/8 × 12 3/8 in. (20 × 31.5 cm),"One of fifty-seven ledger drawings of fighting, hunting, and courting scenes.",Gift of Mrs. Jacob D. Cox,Southern Cheyenne,,"Howling Wolf was known as a warrior artist as well as an ethnographer of the Great Plains tribal heritage. He and his father, Eagle Head, were at the Sand Creek Massacre in 1864, and Howling Wolf subsequently engaged in various battles. Along with 71 other Southern Plains warriors and leaders, he was imprisoned in Fort Marion, Florida, in the late 1870s. Using available paper, often the lined ledgers used for accounting, Plainsmen drew images of their battles and horse raids in much the same manner they had done previously on buffalo hide, lodge covers, tipi liners, and robes. These previous works were often collective pieces of multiple authorship. The practice persisted with the switch to paper, though it became more difficult and less common under exile and reservation life. Howling Wolf’s own drawings were likely sold to tourists in St. Augustine, Florida. Today his work serves as an expressive eyewitness account of his and his tribe’s experiences leading up to and during the forced reservation period caused by United States settler-colonialism ideology."
11427,1904.1180.5,,1904  1180    5,Pre-Columbian and American Indian,Drawings / Watercolors,Gift,Permanent Collection,Howling Wolf,"22. ""Pawnees""; 21. [blank page]; 3. [blank page]; 4. ""At the Sand Creek Massacre.""",drawing,1874–75,"Pen, ink, and watercolor on ledger paper",Overall: 7 7/8 × 12 3/8 in. (20 × 31.5 cm),"One of fifty-seven ledger drawings of fighting, hunting, and courting scenes.",Gift of Mrs. Jacob D. Cox,Southern Cheyenne,,"The nineteenth-century Plains Indian artist Howling Wolf documented the life of his Southern Cheyenne people through colorful and detailed drawings. A total of fifty seven powerful images, all probably made between 1874 and 1875, comprise the gift the AMAM received in 1904. Because they were made on lined ledger paper used by accountants, drawings of this type are called ledger drawings. Howling Wolf drew a variety of historic scenes that often occurred as long as ten years or more before their depiction, and the drawings in the ledger are not in chronological order. The history, meaning, and importance of Oberlin's ledger drawings have been fully described by scholar Joyce M. Szabo. 
<br><br>
Among the individuals shown in these drawings are Howling Wolf himself; his father, Eagle Head, a Southern Cheyenne Council chief and respected warrior; and Sitting Bull, the prominent Sioux leader and medicine man. The drawings' attribution to Howling Wolf is made both on stylistic grounds-in particular the characteristic rendering of horses, a tendency toward foreshortening, and the vividly colorful immediacy of execution, all of which appear in known works by the artist-and because of the inclusion of his name sign: a wolf with lines extending from its open mouth, suggesting sound.
<br><br>
 <I>At the Sand Creek Massacre</I> records an 1864 event in which a Colorado volunteer militia attacked a village of Southern Cheyenne and Arapaho people while they were sleeping. The soldiers are drawn along the left edge of the paper, lined up vertically and firing their weapons as the Cheyenne ride furiously toward them across the center of the sheet. Howling Wolf was a young warrior at the time, and his name sign appears at the top of the page.
<br><br>
Howling Wolf's drawings of the Southern Cheyenne people's attempt to preserve their land and way of life comprise a fascinating visual record. They illustrate Howling Wolf's retrospective interpretation of his life before his exile to Florida. While he and the other warriors were imprisoned, their families at home were forced to live on reservations. After his release in April 1878, he returned to a very different-and dispiriting-life on the reservation, and he apparently made almost no further drawings. Following his father's death in 1881, Howling Wolf became a strong advocate and spokesman for the rights of the Cheyenne. He died in an automobile accident in 1927. 
<br><br>
Howling Wolf's ledger drawings were given to Oberlin College in 1904 by Helen Finney Cox (OC 1846), daughter of Oberlin College's second president, Charles Grandison Finney. The drawings had come to her through her son-in-law, whose father, John Pope, was commander of the Department of the Missouri from 1866 through 1883. General Pope, whose headquarters was at Fort Leavenworth, may have acquired the ledger drawings when Howling Wolf and the other prisoners from the Southern Plains wars passed through during their enforced journey to Fort Marion in 1875.
"
13160,1904.1180.9,,1904  1180    9,Pre-Columbian and American Indian,Drawings / Watercolors,Gift,Permanent Collection,Howling Wolf,"42. ""Fight Near Ft. Wallace""; 41. [blank page]; 31. [blank page]; 32. Howling Wolf Fighting Soldier.",drawing,1874–75,"Ink, pencil, colored pencil, crayon, and watercolor on ledger paper","Image: 7 15/16 × 12 3/8 in. (20.2 × 31.5 cm)
Sheet: 15 7/8 × 12 3/8 in. (40.3 × 31.5 cm)","One of fifty-seven ledger drawings of fighting, hunting, and courting scenes.",Gift of Mrs. Jacob D. Cox,Southern Cheyenne,,"Throughout the 19th century, Plains warriors made drawings on ledger books to commemorate scenes of battle and ritual. In this drawing, a fleet of Southern Cheyenne warriors led by Howling Wolf himself pursue a white soldier near Fort Wallace in western Kansas. One of a series of drawings made by Howling Wolf, this scene highlights the volatility of American land ownership in the wake of settler colonialism. Although this battle scene shows the Cheyenne warriors victorious, not all of Howling Wolf’s drawings are so hopeful. Many are dominated by violence, gore, and defeat, presaging the tragic fate of the Cheyenne, who were eventually forced onto reservations by the American government.<br>
<br> 
The drawing’s visual properties—its flatness, vibrancy of hue, and energetic lines—insinuate an active and expansive landscape, one that is deeply familiar to the artist. The American flag, while traditionally understood as a symbol of national unity, here functions as a physical and metaphorical barricade, separating the white settlers enclosed within Fort Wallace from the Cheyenne people on whose land the fort stands. As if to challenge this nebulous symbol, Howling Wolf’s name glyph hovers like an apparition over his head, snarling at the flag."
10751,1904.1180.13,,1904  1180   13,Pre-Columbian and American Indian,Drawings / Watercolors,Gift,Permanent Collection,Howling Wolf,56. The warriors making their grand entry into the Medicine Lodge before beginning the dance.  They fire first at the image hanging from the center pole.  One band has just arrived and another is approaching the Lodge.; 55. [blank page]; 65. [blank page];,drawing,1874–75,"Pen, ink, and watercolor on ledger paper","Image: 7 7/8 × 12 3/8 in. (20 × 31.4 cm)
Sheet: 15 7/8 × 12 3/8 in. (40.3 × 31.4 cm)","One of fifty-seven ledger drawings of fighting, hunting, and courting scenes.",Gift of Mrs. Jacob D. Cox,Southern Cheyenne,,"The nineteenth-century Plains Indian artist Howling Wolf documented the life of his Southern Cheyenne people through colorful and detailed drawings. A total of fifty seven powerful images, all probably made between 1874 and 1875, comprise the gift the AMAM received in 1904. Because they were made on lined ledger paper used by accountants, drawings of this type are called ledger drawings. Howling Wolf drew a variety of historic scenes that often occurred as long as ten years or more before their depiction, and the drawings in the ledger are not in chronological order. The history, meaning, and importance of Oberlin's ledger drawings have been fully described by scholar Joyce M. Szabo. 
<br><br>
Among the individuals shown in these drawings are Howling Wolf himself; his father, Eagle Head, a Southern Cheyenne Council chief and respected warrior; and Sitting Bull, the prominent Sioux leader and medicine man. The drawings' attribution to Howling Wolf is made both on stylistic grounds-in particular the characteristic rendering of horses, a tendency toward foreshortening, and the vividly colorful immediacy of execution, all of which appear in known works by the artist-and because of the inclusion of his name sign: a wolf with lines extending from its open mouth, suggesting sound.
<br><br>
<I>Entry into the Medicine Lodge</I> shows Howling Wolf as a specially honored warrior coming into the sacred lodge on horseback, while other warriors fire at an effigy hanging from the center pole. The Sun Dance ceremony in which they are taking part was an annual life-renewal rite for many Plains tribes; the drawing shows the Sun Dance that took place in summer 1874, Howling Wolf's last before being confined at Fort Marion, Florida, for three years with his father and seventy other captive war leaders. 
<br><br>
Howling Wolf's drawings of the Southern Cheyenne people's attempt to preserve their land and way of life comprise a fascinating visual record. They illustrate Howling Wolf's retrospective interpretation of his life before his exile to Florida. While he and the other warriors were imprisoned, their families at home were forced to live on reservations. After his release in April 1878, he returned to a very different-and dispiriting-life on the reservation, and he apparently made almost no further drawings. Following his father's death in 1881, Howling Wolf became a strong advocate and spokesman for the rights of the Cheyenne. He died in an automobile accident in 1927. 
<br><br>
Howling Wolf's ledger drawings were given to Oberlin College in 1904 by Helen Finney Cox (OC 1846), daughter of Oberlin College's second president, Charles Grandison Finney. The drawings had come to her through her son-in-law, whose father, John Pope, was commander of the Department of the Missouri from 1866 through 1883. General Pope, whose headquarters was at Fort Leavenworth, may have acquired the ledger drawings when Howling Wolf and the other prisoners from the Southern Plains wars passed through during their enforced journey to Fort Marion in 1875.
"
